class,soldDateInQuarter,Avg Sales Price,Avg Sqft,Median Sales Price,# of Sales,Avg Price/Sqft
CondoProperty,2019 Q1,703250.0,930.25,660000.0,8.0,755.9795753829616
CondoProperty,2020 Q1,722761.5384615385,1060.5384615384614,710000.0,13.0,681.5043156596795
CondoProperty,%change Q1,2.77448111788674,14.005747007628223,7.575757575757569,62.5,-9.851490985792132
CondoProperty,2019 Q2,683866.6666666666,947.6111111111111,613000.0,18.0,721.6743858826288
CondoProperty,2020 Q2,673857.1428571428,1006.1428571428571,679000.0,7.0,669.7430072412325
CondoProperty,%change Q2,-1.4636659889145753,6.1767686496536856,10.76672104404568,-61.111111111111114,-7.195957021237875
ResidentialProperty,2019 Q1,1781178.2608695652,730.4347826086956,1622100.0,23.0,2438.5178571428573
ResidentialProperty,2020 Q1,1967804.5454545454,906.8181818181819,1975000.0,22.0,2170.0100250626565
ResidentialProperty,%change Q1,10.477687084159104,24.147727272727295,21.75574872079402,-4.347826086956519,-11.011107886443938
ResidentialProperty,2019 Q2,1966887.7972972973,884.4594594594595,1700000.0,74.0,2223.830359052712
ResidentialProperty,2020 Q2,2289160.472222222,1573.611111111111,2293500.0,36.0,1454.7180406001764
ResidentialProperty,%change Q2,16.38490387544018,77.91783380018673,34.911764705882355,-51.35135135135135,-34.58502647567755
