class,soldDateInQuarter,Avg Sales Price,Avg Sqft,Median Sales Price,# of Sales,Avg Price/Sqft
CondoProperty,2019 Q1,1196856.5789473683,1222.6842105263158,929000.0,19.0,978.8762859971588
CondoProperty,2019 Q2,1400547.351851852,1395.2962962962963,1089000.0,54.0,1003.763398189685
CondoProperty,2019 Q3,1080451.923076923,1121.4358974358975,894500.0,39.0,963.4540195719773
CondoProperty,2019 Q4,1161638.435897436,1215.025641025641,830000.0,39.0,956.0608407546533
CondoProperty,2020 Q1,1152146.4393939395,1150.5151515151515,1032000.0,33.0,1001.4178760502542
CondoProperty,2020 Q2,1387772.2222222222,1311.5,1225000.0,18.0,1058.156479010463
CondoProperty,%change Q1,-3.735630512450483,-5.902510099488278,11.087190527448865,73.6842105263158,2.3028027520487715
CondoProperty,%change Q2,-0.9121526389477608,-6.005627372388711,12.488521579430678,-66.66666666666667,5.418914548874509
ResidentialProperty,2019 Q1,3497407.6923076925,2788.4615384615386,3000000.0,13.0,1254.2427586206898
ResidentialProperty,2020 Q1,2716829.1666666665,1052.0833333333333,2425000.0,24.0,2582.3326732673268
ResidentialProperty,%change Q1,-22.318774198325652,-62.27011494252874,-19.166666666666664,84.61538461538463,105.88778811106377
ResidentialProperty,2019 Q2,3388391.089285714,2116.964285714286,3090000.0,56.0,1600.5896330662167
ResidentialProperty,2020 Q2,3747777.272727273,1956.8181818181818,2700000.0,22.0,1915.240418118467
ResidentialProperty,%change Q2,10.60639619133572,-7.564893984126386,-12.621359223300976,-60.71428571428572,19.658429528215816
