soldPrice_category, ,# of Sales,avg soldPrice,median soldPrice
.5-.75 M,2019 Q1,489.0,680566.0674846625,695000.0
.5-.75 M,2020 Q1,190.0,692676.4947368421,705000.0
.5-.75 M,19 vs 20,-61.1%,1.8%,1.4%
.75-2 M,2019 Q1,1562,1132309.7408386683,1056500.0
.75-2 M,2020 Q1,2068,1166471.0083413927,1080500.0
.75-2 M,19 vs 20,32.4%,3.0%,2.3%
< .5 M,2019 Q1,4,484000.0,492500.0
< .5 M,2020 Q1,2,455000.0,455000.0
< .5 M,19 vs 20,-50.0%,-6.0%,-7.6%
> 2 M,2019 Q1,197,2902023.3197969543,2520070.0
> 2 M,2020 Q1,384,2856063.9021614585,2519000.0
> 2 M,19 vs 20,94.9%,-1.6%,-0.0%
